TRIPID,PERSID,HHID,STARTIME,TRIPTIME,WAITIME,CUMDIST,STOPS,ORIGLGA,TRAVDOW,Mode_Group,TRIPPURP,ActualStartTime
Y17H2400101P01T01,Y17H2400101P01,Y17H2400101,330,15,0,11.43,1,Casey (C),Monday,Vehicle Driver,Work Related,1900-00-01 05:30:00
Y17H2400101P01T02,Y17H2400101P01,Y17H2400101,540,10,0,1.86,1,Greater Dandenong (C),Monday,Vehicle Driver,Work Related,1900-00-01 09:00:00
Y17H2400101P01T03,Y17H2400101P01,Y17H2400101,570,30,0,9.57,1,Greater Dandenong (C),Monday,Vehicle Driver,Work Related,1900-00-01 09:30:00
Y17H2400101P01T04,Y17H2400101P01,Y17H2400101,620,25,0,7.01,1,Kingston (C),Monday,Vehicle Driver,Work Related,1900-00-01 10:20:00
Y17H2400101P01T05,Y17H2400101P01,Y17H2400101,675,15,0,8.73,1,Kingston (C),Monday,Vehicle Driver,Work Related,1900-00-01 11:15:00
Y17H2400101P01T06,Y17H2400101P01,Y17H2400101,825,15,0,12.27,1,Kingston (C),Monday,Vehicle Driver,Work Related,1900-00-01 13:45:00
Y17H2400101P01T07,Y17H2400101P01,Y17H2400101,870,45,0,24.99,1,Monash (C),Monday,Vehicle Driver,Work Related,1900-00-01 14:30:00
Y17H2400101P01T08,Y17H2400101P01,Y17H2400101,930,30,0,16.24,1,Casey (C),Monday,Vehicle Driver,Work Related,1900-00-01 15:30:00
Y17H2400101P01T09,Y17H2400101P01,Y17H2400101,970,50,0,10.34,1,Greater Dandenong (C),Monday,Vehicle Driver,Work Related,1900-00-01 16:10:00
Y17H2400101P02T01,Y17H2400101P02,Y17H2400101,370,40,0,24.01,1,Casey (C),Monday,Vehicle Driver,Work Related,1900-00-01 06:10:00
Y17H2400101P02T02,Y17H2400101P02,Y17H2400101,930,45,0,22.87,1,Monash (C),Monday,Vehicle Driver,Work Related,1900-00-01 15:30:00
Y17H2400101P03T01,Y17H2400101P03,Y17H2400101,450,45,0,26.85,1,Casey (C),Monday,Vehicle Driver,Work Related,1900-00-01 07:30:00
Y17H2400101P03T02,Y17H2400101P03,Y17H2400101,990,60,0,23.86,1,Greater Dandenong (C),Monday,Vehicle Driver,Work Related,1900-00-01 16:30:00
Y17H2400103P02T01,Y17H2400103P02,Y17H2400103,855,8,0,0.41,1,Casey (C),Wednesday,Walking,Recreational,1900-00-01 14:15:00
Y17H2400103P02T02,Y17H2400103P02,Y17H2400103,880,5,0,0.35,1,Casey (C),Wednesday,Walking,Social,1900-00-01 14:40:00
Y17H2400103P02T03,Y17H2400103P02,Y17H2400103,930,5,0,0.35,1,Casey (C),Wednesday,Walking,Recreational,1900-00-01 15:30:00
Y17H2400103P02T04,Y17H2400103P02,Y17H2400103,955,7,0,0.41,1,Casey (C),Wednesday,Walking,Recreational,1900-00-01 15:55:00
Y17H2400103P03T01,Y17H2400103P03,Y17H2400103,855,8,0,0.41,1,Casey (C),Wednesday,Walking,Recreational,1900-00-01 14:15:00
Y17H2400103P03T02,Y17H2400103P03,Y17H2400103,880,5,0,0.35,1,Casey (C),Wednesday,Walking,Social,1900-00-01 14:40:00
Y17H2400103P03T03,Y17H2400103P03,Y17H2400103,930,5,0,0.35,1,Casey (C),Wednesday,Walking,Recreational,1900-00-01 15:30:00
Y17H2400103P03T04,Y17H2400103P03,Y17H2400103,955,7,0,0.41,1,Casey (C),Wednesday,Walking,Recreational,1900-00-01 15:55:00
Y17H2400104P01T01,Y17H2400104P01,Y17H2400104,330,75,0,68.25,1,Casey (C),Thursday,Vehicle Passenger,Work Related,1900-00-01 05:30:00
Y17H2400109P02T04,Y17H2400109P02,Y17H2400109,695,15,0,1.58,1,Casey (C),Tuesday,Vehicle Driver,Recreational,1900-00-01 11:35:00
Y17H2400109P02T05,Y17H2400109P02,Y17H2400109,765,15,0,5.73,1,Casey (C),Tuesday,Vehicle Driver,Recreational,1900-00-01 12:45:00
Y17H2400109P03T02,Y17H2400109P03,Y17H2400109,695,15,0,1.58,1,Casey (C),Tuesday,Vehicle Passenger,Recreational,1900-00-01 11:35:00
Y17H2400109P03T03,Y17H2400109P03,Y17H2400109,765,15,0,5.73,1,Casey (C),Tuesday,Vehicle Passenger,Recreational,1900-00-01 12:45:00
Y17H2400109P04T04,Y17H2400109P04,Y17H2400109,695,15,0,1.58,1,Casey (C),Tuesday,Vehicle Passenger,Recreational,1900-00-01 11:35:00
Y17H2400109P04T05,Y17H2400109P04,Y17H2400109,765,15,0,5.73,1,Casey (C),Tuesday,Vehicle Passenger,Recreational,1900-00-01 12:45:00
Y17H2400110P01T01,Y17H2400110P01,Y17H2400110,400,10,0,9.24,1,Casey (C),Wednesday,Vehicle Passenger,Work Related,1900-00-01 06:40:00
Y17H2400110P01T02,Y17H2400110P01,Y17H2400110,1050,10,0,8.99,1,Casey (C),Wednesday,Vehicle Passenger,Work Related,1900-00-01 17:30:00
Y17H2400111P02T02,Y17H2400111P02,Y17H2400111,780,30,0,23.42,1,Kingston (C),Thursday,Vehicle Driver,Buy Something,1900-00-01 13:00:00
Y17H2400111P02T03,Y17H2400111P02,Y17H2400111,840,30,0,1.61,1,Casey (C),Thursday,Vehicle Driver,Buy Something,1900-00-01 14:00:00
Y17H2400116P01T03,Y17H2400116P01,Y17H2400116,690,20,0,1.69,1,Casey (C),Tuesday,Vehicle Passenger,Recreational,1900-00-01 11:30:00
Y17H2400116P01T04,Y17H2400116P01,Y17H2400116,780,5,0,1.21,1,Casey (C),Tuesday,Vehicle Passenger,Buy Something,1900-00-01 13:00:00
Y17H2400116P01T05,Y17H2400116P01,Y17H2400116,800,5,0,3.01,1,Casey (C),Tuesday,Vehicle Passenger,Buy Something,1900-00-01 13:20:00
Y17H2400116P01T06,Y17H2400116P01,Y17H2400116,815,10,0,0.87,1,Casey (C),Tuesday,Vehicle Passenger,Buy Something,1900-00-01 13:35:00
Y17H2400116P03T01,Y17H2400116P03,Y17H2400116,510,15,0,4.39,1,Casey (C),Tuesday,Vehicle Passenger,Education,1900-00-01 08:30:00
Y17H2400116P03T02,Y17H2400116P03,Y17H2400116,870,15,0,4.44,1,Casey (C),Tuesday,Vehicle Passenger,Education,1900-00-01 14:30:00
Y17H2400118P01T01,Y17H2400118P01,Y17H2400118,1035,1,0,1.05,1,Casey (C),Thursday,Vehicle Driver,Work Related,1900-00-01 17:15:00
Y17H2400118P01T02,Y17H2400118P01,Y17H2400118,1455,1,0,1.95,1,Casey (C),Thursday,Vehicle Driver,Work Related,1/01/1900 0:15
Y17H2400123P01T02,Y17H2400123P01,Y17H2400123,520,60,0,34.22,1,Casey (C),Tuesday,Other,Recreational,1900-00-01 08:40:00
